model,delta,metric,mean,std,ci_lo,ci_hi,frac_positive
logreg,(S+T) - S,roc_auc,0.04006025873961174,0.00947761403798624,0.022632093667183335,0.058822999978228784,1.0
logreg,(S+T) - S,pr_auc,0.0028146696407197547,0.0011455153481363574,0.0010934073930968595,0.00544189193445694,0.999
logreg,(S+T) - S,p@50,-0.01166,0.01517480394188586,-0.04,0.0,0.0
logreg,(S+T) - S,p@100,0.0,0.0,0.0,0.0,0.0
logreg,(S+T+C) - (S+T),roc_auc,-0.003674794312597352,0.0020296684120947577,-0.007715459657164616,0.000217532859515104,0.035
logreg,(S+T+C) - (S+T),pr_auc,-0.00018803249169403751,0.0002682999984695502,-0.0007942657654666533,0.00025975046797803447,0.204
logreg,(S+T+C) - (S+T),p@50,-0.0011,0.005798588071558768,-0.02,0.0,0.0
logreg,(S+T+C) - (S+T),p@100,-2e-05,0.0006324555320336758,0.0,0.0,0.0
logreg,(S+T+C) - S,roc_auc,0.03638546442701438,0.009372790964259367,0.019507062742327157,0.05536294648070199,1.0
logreg,(S+T+C) - S,pr_auc,0.002626637149025718,0.0011562552325204746,0.000803005001932802,0.0052260185349900495,0.996
logreg,(S+T+C) - S,p@50,-0.012759999999999999,0.015742624629655318,-0.04,0.0,0.0
logreg,(S+T+C) - S,p@100,-2e-05,0.0006324555320336758,0.0,0.0,0.0
rf,(S+T) - S,roc_auc,0.06984351062924415,0.02423930254608657,0.027463652161177285,0.12322303303071509,1.0
rf,(S+T) - S,pr_auc,0.022031984933268776,0.02566615891061125,-0.020564836359208343,0.08164331088505136,0.849
rf,(S+T) - S,p@50,0.031000000000000003,0.031950286709524545,-0.039999999999999994,0.1,0.755
rf,(S+T) - S,p@100,0.035300000000000005,0.023342126185393965,-0.00024999999999998564,0.08,0.915
rf,(S+T+C) - (S+T),roc_auc,-0.01040259570871855,0.00772753671203355,-0.027474255675824337,0.0023302448061085245,0.073
rf,(S+T+C) - (S+T),pr_auc,0.026317036021726737,0.020347852929464418,-0.002923077616787106,0.06809085205796891,0.935
rf,(S+T+C) - (S+T),p@50,0.01426,0.01841171886031805,0.0,0.06,0.465
rf,(S+T+C) - (S+T),p@100,-0.0011700000000000002,0.01142197713014527,-0.03,0.020000000000000004,0.157
rf,(S+T+C) - S,roc_auc,0.0594409149205256,0.02493224899453462,0.01510214603657138,0.11287195427277602,0.998
rf,(S+T+C) - S,pr_auc,0.04834902095499551,0.03112938156848055,0.0055624566031885585,0.12044491623961948,0.999
rf,(S+T+C) - S,p@50,0.04526000000000001,0.035760469952326006,-0.020000000000000004,0.12,0.85
rf,(S+T+C) - S,p@100,0.03413,0.022564402324286196,-0.01,0.08,0.907
