model,feature_set,metric,mean,std,ci_lo,ci_hi
logreg,S,roc_auc,0.9086375266448561,0.01681886100845226,0.8747089228847894,0.9395621559919011
logreg,S,pr_auc,0.0041514273709851,0.001984601489745745,0.0017445435488259015,0.008862587647063104
logreg,S,p@50,0.01284,0.01572837505217185,0.0,0.04
logreg,S,p@100,0.00967,0.009266983164815666,0.0,0.03
logreg,S+T,roc_auc,0.9486977853844677,0.009621217417633913,0.9287816843705283,0.9670631282693758
logreg,S+T,pr_auc,0.006966097011704855,0.0026730107854450917,0.0031821503114317913,0.013006601327788312
logreg,S+T,p@50,0.00118,0.005919682647122448,0.0,0.02
logreg,S+T,p@100,0.00967,0.009266983164815666,0.0,0.03
logreg,S+T+C,roc_auc,0.9450229910718704,0.01034387968612563,0.9239968174612128,0.9648715752577401
logreg,S+T+C,pr_auc,0.006778064520010818,0.002569891963127291,0.0030700385022449997,0.012456623577433818
logreg,S+T+C,p@50,8e-05,0.0012630103701851366,0.0,0.0
logreg,S+T+C,p@100,0.00965,0.009266248613293481,0.0,0.03
rf,S,roc_auc,0.8802723636683906,0.03380384500394898,0.8027615500626414,0.9404047717300306
rf,S,pr_auc,0.030300334914012808,0.02573589205680908,0.0029166286971078785,0.09692242847120615
rf,S,p@50,0.04946000000000001,0.03057848007085119,0.0,0.12
rf,S,p@100,0.030370000000000005,0.01691298758792039,0.0,0.07
rf,S+T,roc_auc,0.9501158742976347,0.012785656685669666,0.924496657146759,0.9718104053976491
rf,S+T,pr_auc,0.05233231984728158,0.032241750760625416,0.01059956007637728,0.13050078269300303
rf,S+T,p@50,0.08046,0.036899186304713415,0.02,0.16
rf,S+T,p@100,0.06567000000000002,0.022827005326414854,0.02,0.11
rf,S+T+C,roc_auc,0.9397132785889162,0.017708702686936507,0.9026697749857993,0.9703820283538873
rf,S+T+C,pr_auc,0.07864935586900831,0.0446875191494177,0.012267720431960012,0.1795635038813881
rf,S+T+C,p@50,0.09472000000000001,0.038678386957286856,0.02,0.18
rf,S+T+C,p@100,0.0645,0.02201441878938971,0.03,0.11
