t,end_ts_t,end_ts_next,raw_node_count,core_node_count,candidate_count,positive_labels,negative_labels,positive_rate,raw_newneg_next_window,core_retained_pos,candidate_retained_pos,eligible_for_split,in_split_pool
0,2010-11-30 23:59:59.999999999+00:00,2010-12-31 23:59:59.999999999+00:00,26,14,160,0,160,0.0,0,0,0,False,False
1,2010-12-31 23:59:59.999999999+00:00,2011-01-31 23:59:59.999999999+00:00,55,32,548,0,548,0.0,0,0,0,False,False
2,2011-01-31 23:59:59.999999999+00:00,2011-02-28 23:59:59.999999999+00:00,84,48,1030,0,1030,0.0,0,0,0,False,False
3,2011-02-28 23:59:59.999999999+00:00,2011-03-31 23:59:59.999999999+00:00,137,85,3182,0,3182,0.0,5,0,0,False,False
4,2011-03-31 23:59:59.999999999+00:00,2011-04-30 23:59:59.999999999+00:00,186,114,5397,0,5397,0.0,1,0,0,False,False
5,2011-04-30 23:59:59.999999999+00:00,2011-05-31 23:59:59.999999999+00:00,319,196,14889,0,14889,0.0,30,0,0,False,False
6,2011-05-31 23:59:59.999999999+00:00,2011-06-30 23:59:59.999999999+00:00,721,459,47006,1,47005,2.1273879930221675e-05,68,2,1,False,False
7,2011-06-30 23:59:59.999999999+00:00,2011-07-31 23:59:59.999999999+00:00,1240,776,86262,8,86254,9.274072013169182e-05,23,10,8,False,False
8,2011-07-31 23:59:59.999999999+00:00,2011-08-31 23:59:59.999999999+00:00,1334,837,96690,5,96685,5.171165580721895e-05,15,5,5,False,False
9,2011-08-31 23:59:59.999999999+00:00,2011-09-30 23:59:59.999999999+00:00,1407,867,105358,1,105357,9.491448205167145e-06,2,1,1,False,False
10,2011-09-30 23:59:59.999999999+00:00,2011-10-31 23:59:59.999999999+00:00,1452,883,110033,1,110032,9.088182636118255e-06,3,2,1,False,False
11,2011-10-31 23:59:59.999999999+00:00,2011-11-30 23:59:59.999999999+00:00,1501,878,108974,2,108972,1.8353001633417145e-05,5,3,2,False,False
12,2011-11-30 23:59:59.999999999+00:00,2011-12-31 23:59:59.999999999+00:00,1563,739,83706,0,83706,0.0,3,1,0,False,False
13,2011-12-31 23:59:59.999999999+00:00,2012-01-31 23:59:59.999999999+00:00,1637,444,49325,4,49321,8.109477952356817e-05,15,6,4,True,True
14,2012-01-31 23:59:59.999999999+00:00,2012-02-29 23:59:59.999999999+00:00,1703,395,47115,4,47111,8.489865223389578e-05,16,9,4,True,True
15,2012-02-29 23:59:59.999999999+00:00,2012-03-31 23:59:59.999999999+00:00,1774,375,45951,7,45944,0.000152336184196209,22,12,7,True,True
16,2012-03-31 23:59:59.999999999+00:00,2012-04-30 23:59:59.999999999+00:00,1877,407,52168,7,52161,0.00013418187394571385,23,9,7,True,True
17,2012-04-30 23:59:59.999999999+00:00,2012-05-31 23:59:59.999999999+00:00,1961,438,59758,11,59747,0.00018407577228153553,20,12,11,True,True
18,2012-05-31 23:59:59.999999999+00:00,2012-06-30 23:59:59.999999999+00:00,2065,485,69055,10,69045,0.00014481210629208602,23,14,10,True,True
19,2012-06-30 23:59:59.999999999+00:00,2012-07-31 23:59:59.999999999+00:00,2189,540,80004,9,79995,0.00011249437528123593,40,15,9,True,True
20,2012-07-31 23:59:59.999999999+00:00,2012-08-31 23:59:59.999999999+00:00,2306,597,95080,16,95064,0.00016827934371055952,43,19,16,True,True
21,2012-08-31 23:59:59.999999999+00:00,2012-09-30 23:59:59.999999999+00:00,2453,652,111513,41,111472,0.00036767013711405845,244,54,41,True,True
22,2012-09-30 23:59:59.999999999+00:00,2012-10-31 23:59:59.999999999+00:00,2643,765,149153,20,149133,0.00013409049767688214,186,32,20,True,True
23,2012-10-31 23:59:59.999999999+00:00,2012-11-30 23:59:59.999999999+00:00,2838,876,185013,24,184989,0.00012972061422710836,125,46,24,True,True
24,2012-11-30 23:59:59.999999999+00:00,2012-12-31 23:59:59.999999999+00:00,3000,980,200000,17,199983,8.5e-05,53,28,17,True,True
25,2012-12-31 23:59:59.999999999+00:00,2013-01-31 23:59:59.999999999+00:00,3162,1002,200000,20,199980,0.0001,97,28,20,True,True
26,2013-01-31 23:59:59.999999999+00:00,2013-02-28 23:59:59.999999999+00:00,3314,1033,200000,15,199985,7.5e-05,51,20,15,True,True
27,2013-02-28 23:59:59.999999999+00:00,2013-03-31 23:59:59.999999999+00:00,3455,1059,200000,23,199977,0.000115,169,38,23,True,True
28,2013-03-31 23:59:59.999999999+00:00,2013-04-30 23:59:59.999999999+00:00,3721,1112,200000,30,199970,0.00015,108,63,30,True,True
29,2013-04-30 23:59:59.999999999+00:00,2013-05-31 23:59:59.999999999+00:00,4078,1193,200000,21,199979,0.000105,76,44,21,True,True
30,2013-05-31 23:59:59.999999999+00:00,2013-06-30 23:59:59.999999999+00:00,4239,1178,200000,14,199986,7e-05,58,34,14,True,True
