u,v,snap_t,y,proba,cn,jaccard,aa,pa,pos_out_u,neg_out_u,pos_in_v,neg_in_v,pos_cn,neg_cn,reciprocity_flag,prior_interaction,mean_rating_given_u,mean_rating_received_v,neg_given_ratio_u,neg_received_ratio_v,days_since_last_activity_u,days_since_last_activity_v,days_since_last_uv_interaction,uv_interaction_count_past,recent_neg_given_u,recent_neg_received_v,recent_total_given_u,recent_total_received_v,decayed_neg_given_u,decayed_neg_received_v,decayed_total_activity_u,decayed_total_activity_v,same_community,cross_community_pair,community_size_u,community_size_v,community_size_diff_log,neighborhood_overlap,boundary_frac_u,boundary_frac_v
3988,905,48,1,0.9726478598044771,53.0,0.11777778,14.060004,59220.0,152.0,33.0,222.0,34.0,49.0,0.0,1.0,0.0,0.5297297,0.71875,0.17837837,0.1328125,5.0541244,3.5965083,9999.0,0.0,7.0,2.0,24.0,2.0,4.125802,1.8715212,19.704142,2.1773553,0.0,1.0,968.0,926.0,0.04435785,0.118303575,0.2866242,0.48120302
2045,5712,49,0,0.9698864187001105,6.0,0.035928145,1.3949755,3322.0,88.0,51.0,15.0,6.0,2.0,0.0,0.0,0.0,-1.5035971,0.61904764,0.36690646,0.2857143,1.157457,2.88932,9999.0,0.0,5.0,3.0,20.0,7.0,4.5462284,1.3168594,15.745461,4.9491725,0.0,1.0,1030.0,962.0,0.06829963,0.035928145,0.5483871,0.1875
3722,905,49,0,0.9659233935088303,24.0,0.062015504,5.31065,29798.0,60.0,24.0,223.0,38.0,13.0,4.0,0.0,0.0,0.52380955,0.6015326,0.2857143,0.14559387,2.8444011,17.540022,9999.0,0.0,6.0,5.0,24.0,6.0,4.130986,3.8600998,13.892516,4.784017,0.0,1.0,182.0,1030.0,1.7333074,0.062015504,0.3181818,0.54681647
3722,905,48,0,0.9647716869957997,20.0,0.05235602,4.4929585,27405.0,56.0,21.0,222.0,34.0,12.0,2.0,0.0,0.0,0.58441556,0.71875,0.27272728,0.1328125,3.0999672,3.5965083,9999.0,0.0,3.0,2.0,18.0,2.0,3.0324988,1.8715212,14.204444,2.1773553,0.0,1.0,177.0,926.0,1.6547245,0.05235602,0.32258064,0.48120302
3722,2045,48,1,0.9639719908239693,19.0,0.09313726,4.612674,11832.0,56.0,21.0,61.0,20.0,8.0,3.0,0.0,0.0,0.58441556,-0.9506173,0.27272728,0.24691358,3.0999672,3.248235,9999.0,0.0,3.0,1.0,18.0,6.0,3.0324988,1.1003888,14.204444,4.640682,0.0,1.0,177.0,926.0,1.6547245,0.09313726,0.32258064,0.5833333
2388,2045,49,0,0.9606369918559191,35.0,0.11513158,10.229344,28388.0,125.0,50.0,68.0,25.0,23.0,8.0,1.0,0.0,-0.74857146,-0.86021507,0.2857143,0.26881722,1.609764,1.157457,9999.0,0.0,2.0,6.0,5.0,17.0,1.7643778,4.9577475,4.627574,12.820522,0.0,1.0,572.0,1030.0,0.5881751,0.11589404,0.6785714,0.5483871
3988,5712,48,0,0.9594509587955743,15.0,0.077319585,3.773034,3948.0,152.0,33.0,14.0,6.0,10.0,0.0,0.0,0.0,0.5297297,0.6,0.17837837,0.3,5.0541244,7.7740583,9999.0,0.0,7.0,5.0,24.0,13.0,4.125802,2.207623,19.704142,6.699328,1.0,0.0,968.0,968.0,0.0,0.077319585,0.2866242,0.13333334
2045,135,49,0,0.9590473802323374,21.0,0.08467742,5.385017,17818.0,88.0,51.0,67.0,24.0,12.0,5.0,0.0,0.0,-1.5035971,0.2857143,0.36690646,0.26373628,1.157457,12.883144,9999.0,0.0,5.0,4.0,20.0,6.0,4.5462284,3.6167665,15.745461,4.785856,1.0,0.0,1030.0,1030.0,0.0,0.08467742,0.5483871,0.54545456
3451,905,48,1,0.9546316256631994,27.0,0.071428575,7.29343,28350.0,72.0,11.0,222.0,34.0,26.0,0.0,1.0,0.0,0.30120483,0.71875,0.13253012,0.1328125,3.075151,3.5965083,9999.0,0.0,3.0,2.0,21.0,2.0,1.3103592,1.8715212,13.126286,2.1773553,0.0,1.0,968.0,926.0,0.04435785,0.07180851,0.24390244,0.48120302
3722,5712,48,0,0.9535285790153456,2.0,0.018867925,0.46319327,1827.0,56.0,21.0,14.0,6.0,0.0,0.0,0.0,0.0,0.58441556,0.6,0.27272728,0.3,3.0999672,7.7740583,9999.0,0.0,3.0,5.0,18.0,13.0,3.0324988,2.207623,14.204444,6.699328,0.0,1.0,177.0,968.0,1.6990824,0.018867925,0.32258064,0.13333334
2934,2045,49,0,0.9471959560957014,23.0,0.10550459,5.7584257,13590.0,37.0,38.0,68.0,25.0,11.0,4.0,0.0,0.0,-4.08,-0.86021507,0.50666666,0.26881722,0.0016500881,1.157457,9999.0,0.0,21.0,6.0,22.0,17.0,20.729414,4.9577475,22.218569,12.820522,0.0,1.0,962.0,1030.0,0.06829963,0.10550459,0.58181816,0.5483871
2388,2045,48,0,0.9469719291682988,31.0,0.106529206,9.168579,25296.0,124.0,49.0,61.0,20.0,22.0,8.0,1.0,0.0,-0.7109827,-0.9506173,0.28323698,0.24691358,1.9233935,3.248235,9999.0,0.0,1.0,1.0,6.0,6.0,1.8330882,1.1003888,5.000996,4.640682,0.0,1.0,782.0,926.0,0.16901949,0.10726643,0.61870503,0.5833333
3722,5712,49,0,0.9443321508810513,3.0,0.026548672,0.672539,2068.0,60.0,24.0,15.0,6.0,0.0,1.0,0.0,0.0,0.52380955,0.61904764,0.2857143,0.2857143,2.8444011,2.88932,9999.0,0.0,6.0,3.0,24.0,7.0,4.130986,1.3168594,13.892516,4.9491725,0.0,1.0,182.0,962.0,1.6650077,0.026548672,0.3181818,0.1875
