model,feature,family,score
logreg,cn,structural,1.2777065158536773
logreg,jaccard,structural,0.8783267579986813
logreg,aa,structural,0.7565729504209653
logreg,pa,structural,-0.5788444818628714
logreg,pos_out_u,structural,-0.1435324152207535
logreg,neg_out_u,structural,0.3055127771394478
logreg,pos_in_v,structural,-0.2434718810814258
logreg,neg_in_v,structural,0.32555518735008604
logreg,pos_cn,structural,-1.0930260666584002
logreg,neg_cn,structural,-0.5062225526310853
logreg,reciprocity_flag,structural,0.884346150077003
logreg,prior_interaction,structural,-1.1731048539575948
logreg,mean_rating_given_u,structural,0.6641609375633816
logreg,mean_rating_received_v,structural,0.614846832650655
logreg,neg_given_ratio_u,structural,0.8504713877021706
logreg,neg_received_ratio_v,structural,0.617933555575559
logreg,days_since_last_activity_u,temporal,-1.288693718016482
logreg,days_since_last_activity_v,temporal,-0.6598127318232445
logreg,days_since_last_uv_interaction,temporal,1.1861257286343214
logreg,uv_interaction_count_past,temporal,-1.1731048539575948
logreg,recent_neg_given_u,temporal,-0.2989077447497254
logreg,recent_neg_received_v,temporal,-0.27716347429406374
logreg,recent_total_given_u,temporal,-0.20332015655570246
logreg,recent_total_received_v,temporal,-0.5729795906518087
logreg,decayed_neg_given_u,temporal,0.07117945993559772
logreg,decayed_neg_received_v,temporal,0.4628362864599044
logreg,decayed_total_activity_u,temporal,0.7068356305555304
logreg,decayed_total_activity_v,temporal,0.7598682710840385
logreg,same_community,community,0.0774737085996027
logreg,cross_community_pair,community,-0.0774737085996027
logreg,community_size_u,community,-0.031000994806435
logreg,community_size_v,community,-0.08499414973742683
logreg,community_size_diff_log,community,-0.10299421238384468
logreg,neighborhood_overlap,community,-1.3626711787230534
logreg,boundary_frac_u,community,0.16628103244928508
logreg,boundary_frac_v,community,-0.013109211856069839
rf,cn,structural,0.022416131441886727
rf,jaccard,structural,0.018857633834967455
rf,aa,structural,0.049557598974436574
rf,pa,structural,0.0372983988422373
rf,pos_out_u,structural,0.01639375762918156
rf,neg_out_u,structural,0.021420579490173515
rf,pos_in_v,structural,0.013403858659554112
rf,neg_in_v,structural,0.034041974819996594
rf,pos_cn,structural,0.00712945770313541
rf,neg_cn,structural,0.001386750921536068
rf,reciprocity_flag,structural,0.03180944380064071
rf,prior_interaction,structural,0.006622045841384125
rf,mean_rating_given_u,structural,0.027667648825726768
rf,mean_rating_received_v,structural,0.015195137263894397
rf,neg_given_ratio_u,structural,0.023331466681668692
rf,neg_received_ratio_v,structural,0.030205189213440883
rf,days_since_last_activity_u,temporal,0.09503376041019844
rf,days_since_last_activity_v,temporal,0.04868254911085296
rf,days_since_last_uv_interaction,temporal,0.007171578015277647
rf,uv_interaction_count_past,temporal,0.006648356456254832
rf,recent_neg_given_u,temporal,0.03067343294293752
rf,recent_neg_received_v,temporal,0.047479050191895016
rf,recent_total_given_u,temporal,0.05296912624627994
rf,recent_total_received_v,temporal,0.012981311941894199
rf,decayed_neg_given_u,temporal,0.05133542289424148
rf,decayed_neg_received_v,temporal,0.051393663583142436
rf,decayed_total_activity_u,temporal,0.10929000695743739
rf,decayed_total_activity_v,temporal,0.028687891482265797
rf,same_community,community,0.0016192171098290545
rf,cross_community_pair,community,0.0017928337315920926
rf,community_size_u,community,0.01557266270609261
rf,community_size_v,community,0.016539299256566446
rf,community_size_diff_log,community,0.01194510871849195
rf,neighborhood_overlap,community,0.017759994814367058
rf,boundary_frac_u,community,0.017533770910661405
rf,boundary_frac_v,community,0.01815388857586065
