comparison,metric,fold_k,value_A,value_B,delta
lgbm S+T - lgbm S,roc_auc,25,0.8983963396339635,0.8649479947994799,0.03344834483448356
lgbm S+T - lgbm S,roc_auc,26,0.8087353218158029,0.8618436382728706,-0.053108316457067706
lgbm S+T - lgbm S,roc_auc,27,0.8652012372727211,0.8108696630547295,0.05433157421799162
lgbm S+T - lgbm S,roc_auc,28,0.8746667000050008,0.7772640062676068,0.09740269373739396
lgbm S+T - lgbm S,roc_auc,29,0.9088385232830399,0.857563853728451,0.051274669554588925
lgbm S+T - lgbm S,roc_auc,30,0.8943379608001131,0.9322316847893638,-0.03789372398925073
lgbm S+T - lgbm S,roc_auc,31,0.8612672867520272,0.8211174344926688,0.04014985225935841
lgbm S+T - lgbm S,roc_auc,32,0.7802485062126553,0.7541738543463586,0.02607465186629665
lgbm S+T - lgbm S,roc_auc,33,0.7413384035361414,0.8353396635865435,-0.0940012600504021
lgbm S+T - lgbm S,roc_auc,34,0.911728781446616,0.9414545072706271,-0.029725725824011118
lgbm S+T - lgbm S,roc_auc,35,0.768768483470645,0.6378231464860362,0.13094533698460875
lgbm S+T - lgbm S,roc_auc,36,0.8256141741339307,0.7752904607368589,0.050323713397071757
lgbm S+T - lgbm S,roc_auc,37,0.8971124278106952,0.9507207680192005,-0.053608340208505245
lgbm S+T - lgbm S,roc_auc,38,0.8503470173508675,0.7696037301865094,0.08074328716435808
lgbm S+T - lgbm S,roc_auc,39,0.9501538248059844,0.9675233393671494,-0.017369514561164978
lgbm S+T - lgbm S,roc_auc,40,0.9556913754005338,0.8851124067708225,0.07057896862971136
lgbm S+T - lgbm S,roc_auc,41,0.9664717212960826,0.9230511275532925,0.04342059374279006
lgbm S+T - lgbm S,roc_auc,42,0.9529255149797828,0.8216232475829645,0.13130226739681838
lgbm S+T - lgbm S,roc_auc,43,0.9049345804220457,0.8353164147036014,0.06961816571844426
lgbm S+T - lgbm S,roc_auc,44,0.862750877489114,0.8696456859973218,-0.006894808508207784
lgbm S+T - lgbm S,roc_auc,45,0.9175024938357881,0.9229676581409931,-0.00546516430520505
lgbm S+T - lgbm S,roc_auc,46,0.8993723830574873,0.8835337035239996,0.01583867953348772
lgbm S+T - lgbm S,roc_auc,47,0.9735151551519515,0.9391160272566041,0.03439912789534738
lgbm S+T - lgbm S,roc_auc,48,0.9477204243668186,0.8564382010386811,0.09128222332813751
lgbm S+T - lgbm S,roc_auc,49,0.9084637100305485,0.8630915890931756,0.04537212093737286
lgbm S+T - lgbm S,pr_auc,25,0.008829213324036734,0.013982499424878213,-0.005153286100841479
lgbm S+T - lgbm S,pr_auc,26,0.0016685248136633919,0.0012918347022948546,0.0003766901113685373
lgbm S+T - lgbm S,pr_auc,27,0.014088633777180868,0.005378699806399892,0.008709933970780976
lgbm S+T - lgbm S,pr_auc,28,0.055905041920841295,0.008339112195307505,0.04756592972553379
lgbm S+T - lgbm S,pr_auc,29,0.024274809306388805,0.04480249128410383,-0.020527681977715026
lgbm S+T - lgbm S,pr_auc,30,0.004816435817500531,0.02057427352802983,-0.0157578377105293
lgbm S+T - lgbm S,pr_auc,31,0.010805308282119033,0.009689354608963658,0.0011159536731553746
lgbm S+T - lgbm S,pr_auc,32,0.00011912677662196132,6.072232588933365e-05,5.8404450732627666e-05
lgbm S+T - lgbm S,pr_auc,33,0.00029146145705352775,0.00017930537007939174,0.00011215608697413601
lgbm S+T - lgbm S,pr_auc,34,0.06663693821812795,0.013888257719065608,0.052748680499062346
lgbm S+T - lgbm S,pr_auc,35,0.0011953555936431437,0.00044759091849208565,0.000747764675151058
lgbm S+T - lgbm S,pr_auc,36,0.01282834470826337,0.001479900512576034,0.011348444195687335
lgbm S+T - lgbm S,pr_auc,37,0.00318756599912051,0.0020171344299673745,0.0011704315691531356
lgbm S+T - lgbm S,pr_auc,38,0.0003373298375869345,0.0002629745388576876,7.435529872924692e-05
lgbm S+T - lgbm S,pr_auc,39,0.05633313061123951,0.007494321644717678,0.04883880896652183
lgbm S+T - lgbm S,pr_auc,40,0.00893173277958699,0.00554187425120026,0.00338985852838673
lgbm S+T - lgbm S,pr_auc,41,0.005508448858436616,0.0022727231452290457,0.0032357257132075703
lgbm S+T - lgbm S,pr_auc,42,0.0055817158139435455,0.0018858636233638891,0.0036958521905796566
lgbm S+T - lgbm S,pr_auc,43,0.0016199561684589164,0.0031379678132380444,-0.001518011644779128
lgbm S+T - lgbm S,pr_auc,44,0.005078741352263326,0.005169660356622632,-9.091900435930639e-05
lgbm S+T - lgbm S,pr_auc,45,0.10223138546698855,0.010499347569642898,0.09173203789734566
lgbm S+T - lgbm S,pr_auc,46,0.003853694325562225,0.0008747932687847447,0.0029789010567774802
lgbm S+T - lgbm S,pr_auc,47,0.012686233993087477,0.004448550019946667,0.00823768397314081
lgbm S+T - lgbm S,pr_auc,48,0.06704755665899434,0.02005385140899886,0.04699370524999548
lgbm S+T - lgbm S,pr_auc,49,0.004184937581984122,0.006871723001412601,-0.0026867854194284786
lgbm S+T - lgbm S,p@50,25,0.04,0.02,0.02
lgbm S+T - lgbm S,p@50,26,0.0,0.0,0.0
lgbm S+T - lgbm S,p@50,27,0.04,0.0,0.04
lgbm S+T - lgbm S,p@50,28,0.06,0.06,0.0
