fold_k,model,feature_set,n_train_pairs,n_train_pos,n_test_pairs,n_test_pos,fit_seconds,roc_auc,pr_auc,p@50,p@100
25,recency_only,heuristic,944135,153,200000,20,0.13899493217468262,0.9043435593559356,0.0029065756055322235,0.02,0.01
25,victim_risk_only,heuristic,944135,153,200000,20,0.08002901077270508,0.6971352135213521,0.00027347012797087565,0.0,0.0
25,issuer_risk_only,heuristic,944135,153,200000,20,0.08554601669311523,0.7877281478147815,0.001420929208782746,0.0,0.0
25,structural_heuristic,heuristic,944135,153,200000,20,0.11536717414855957,0.8826771427142714,0.005156856908275663,0.02,0.01
25,lgbm,S,944135,153,200000,20,1.3761248588562012,0.8649479947994799,0.013982499424878213,0.02,0.01
25,lgbm,S+T,944135,153,200000,20,1.3811249732971191,0.8983963396339635,0.008829213324036734,0.04,0.02
25,lgbm,S+T+C,944135,153,200000,20,1.3397700786590576,0.8974499949994998,0.006367439046769105,0.02,0.01
26,recency_only,heuristic,1144135,170,200000,15,0.12768101692199707,0.9118457217624655,0.0012082204992742993,0.0,0.0
26,victim_risk_only,heuristic,1144135,170,200000,15,0.08408093452453613,0.6142275670675301,0.00014896350702442554,0.0,0.0
26,issuer_risk_only,heuristic,1144135,170,200000,15,0.0816037654876709,0.8807237209457377,0.0014888282668677132,0.02,0.01
26,structural_heuristic,heuristic,1144135,170,200000,15,0.1093299388885498,0.8477565817436308,0.0006683040136552557,0.0,0.0
26,lgbm,S,1144135,170,200000,15,1.5347800254821777,0.8618436382728706,0.0012918347022948546,0.0,0.0
26,lgbm,S+T,1144135,170,200000,15,1.4321329593658447,0.8087353218158029,0.0016685248136633919,0.0,0.0
26,lgbm,S+T+C,1144135,170,200000,15,1.5176820755004883,0.8387632405763766,0.0016142890801639112,0.0,0.01
27,recency_only,heuristic,1344135,190,200000,23,0.1297140121459961,0.9649676017089792,0.01604013771591762,0.02,0.01
27,victim_risk_only,heuristic,1344135,190,200000,23,0.08527374267578125,0.8018260143394751,0.0015501421834976283,0.0,0.0
27,issuer_risk_only,heuristic,1344135,190,200000,23,0.08831095695495605,0.8721162716321073,0.0013665831166793502,0.0,0.0
27,structural_heuristic,heuristic,1344135,190,200000,23,0.11302399635314941,0.7585299483353629,0.0019668535443852905,0.02,0.01
27,lgbm,S,1344135,190,200000,23,1.34431791305542,0.8108696630547295,0.005378699806399892,0.0,0.02
27,lgbm,S+T,1344135,190,200000,23,1.3772308826446533,0.8652012372727211,0.014088633777180868,0.04,0.03
27,lgbm,S+T+C,1344135,190,200000,23,1.508181095123291,0.8789371647304658,0.014717655684157447,0.06,0.03
28,recency_only,heuristic,1544135,205,200000,30,0.12931513786315918,0.926307279425247,0.004543081848770177,0.0,0.0
